density_Kg/m3,cluster
1184.64,2
1333.85,2
1332.41,1
1370.11,3
1387.8,1
1241.41,1
1144.55,2
1149.01,2
1163.53,3
1250.51,1
1314.25,2
1254.07,1
1159.15,0
1439.52,1
1242.04,2
1005.6,2
1288.2,1
1357.48,1
1313.76,1
1403.15,1
1272.44,1
1136.96,0
1359.36,1
1195.8,2
1226.36,0
1232.82,1
1251.78,0
1354.41,0
1322.37,0
1288.41,0
1213.76,1
1105.05,0
1264.91,0
1261.88,1
1437.15,1
1206.6,0
1336.31,1
1278.73,1
1322.28,1
1192.16,0
1417.21,1
1204.29,0
1406.24,2
1241.59,2
1341.26,2
1087.93,0
1113.51,2
1088.77,2
1321.4,1
1221.34,1
1277.27,2
1228.03,0
1236.8,0
1175.61,2
1295.67,1
1253.23,1
1278.67,1
1180.38,0
1262.42,1
1199.5,1
1362.37,1
1233.27,1
1185.38,1
1115.91,2
1288.26,1
1296.58,0
1307.73,1
1264.12,0
1238.45,2
1284.27,0
1309.66,0
1290.81,0
1285.66,1
1143.8,1
1239.56,1
1282.86,1
1072.32,2
1243.86,1
1187.76,0
1250.48,0
1237.59,0
1295.95,1
1286.73,0
1353.17,1
1340.03,2
1210.22,1
1209.81,0
1215.49,1
1392.5,1
1358.81,2
1182.91,1
1382.01,3
1264.16,0
1183.82,0
1304.04,1
1256.02,0
1316.23,1
1161.47,0
1153.06,0
1199.13,0
1310.46,2
1244.76,0
1330.4,0
1276.64,1
1207.67,1
1180.54,1
1261.61,3
1186.29,0
1140.69,1
1256.95,1
1268.84,1
1199.41,1
1366.41,3
1215.86,1
1215.48,2
1209.59,1
1291.64,0
1158.83,0
1359.74,0
1224.83,1
1322.57,1
1199.64,2
1226.72,0
1227.91,1
1226.34,1
1264.76,0
1467,2
1252.01,0
1078.55,0
1211.33,2
1384.33,3
1151.82,1
1123.18,0
1192.81,0
1347.59,1
1203.3,0
1153.35,0
1140.07,0
1435.68,1
1289.9,1
1195.91,0
1306.65,1
1194.8,1
1214.8,2
1458.21,1
1213.41,1
1313.61,1
1322.71,2
1201.88,0
1288.37,1
1358.93,1
1275.77,0
1270.4,0
1504.15,1
1395.59,1
1466.57,1
1233.47,0
1263.02,1
1175.8,0
1328.8,1
1486.38,1
1189.45,0
1261.89,1
1195.32,1
1301.94,1
1422.29,0
1271.75,3
1228.24,1
1238.57,1
1381.76,3
1345.59,1
1373.68,2
1402.66,1
1452.92,3
1177.19,0
1287.05,2
1335.38,2
1377.85,1
1301.69,0
1306.45,0
1330.49,0
1216.33,0
1181.4,1
1411.78,1
1207.36,0
1242.9,0
1198.04,2
1169.05,1
1203.16,0
1318.1,1
1326.32,0
1183.87,0
1185.61,1
1201.17,0
1321.35,1
1232.15,0
1324.64,2
1393.03,2
1288.9,1
1009.88,1
1301.52,1
1275.38,1
1225.58,1
1325.91,1
1353.95,1
1369.6,2
1182.34,1
1218.32,0
1123.58,0
1351.31,0
1319.58,1
1292.08,1
1339.59,1
1224.63,0
1473.53,2
1303.59,2
1196.18,1
1149.93,2
1199.65,2
1457.52,1
1183.37,0
1276.42,1
1242.05,0
1218.57,2
1086.11,1
1192.77,1
1228.17,0
1196.28,1
1224.18,3
1220.55,1
1351.83,2
1330.04,1
1333.32,1
1403.9,1
1329.18,2
1301.71,1
1315.85,2
1120.2,0
1279.94,2
1175.98,0
