feature,importance
Me,32.23
AMW,26.6
nHet,21.63
N%,1.8
X0Av,1.62
nS,1.26
H%,1.15
PW5,0.93
nC,0.73
nHM,0.69
ZM1V,0.59
C%,0.54
ZM1MulPer,0.53
ZM1Per,0.44
ON1V,0.38
DELS,0.37
Mv,0.35
PHI,0.32
Mi,0.3
X3Av,0.29
MAXDN,0.29
MAXDP,0.26
BLI,0.25
X2Av,0.2
nCsp2,0.19
Mp,0.18
PW4,0.17
nH,0.17
TIE,0.16
X4Av,0.15
RBF,0.13
DECC,0.13
X5v,0.13
D/Dtr05,0.13
PW2,0.13
D/Dtr06,0.12
X5Av,0.11
ZM2Per,0.11
X1Av,0.11
PW3,0.11
ZM1Mad,0.1
X4v,0.1
PCR,0.1
nCsp3,0.1
X3A,0.09
S3K,0.09
Si,0.09
X2v,0.08
Psi_e_A,0.08
SRW09,0.08
PJI2,0.08
PCD,0.08
piPC10,0.08
ZM2Kup,0.07
X4A,0.07
ZM2Mad,0.07
piPC06,0.07
Psi_i_A,0.06
piPC08,0.06
XMOD,0.06
X2A,0.06
nTA,0.05
piPC05,0.05
nN,0.05
MWC05,0.05
X1A,0.05
UNIP,0.05
ARR,0.04
ZM2MulPer,0.04
ICR,0.04
Dz,0.04
ECC,0.04
MWC07,0.04
Se,0.04
X3sol,0.04
X5A,0.04
MPC08,0.04
Sv,0.04
Psi_i_1,0.04
O%,0.03
X3v,0.03
piPC07,0.03
X0A,0.03
piPC04,0.03
MWC08,0.03
BBI,0.03
SRW07,0.03
MPC10,0.03
RDCHI,0.03
AECC,0.03
ON1,0.03
X1v,0.03
ON0V,0.03
SCBO,0.03
piPC09,0.03
ZM2V,0.03
Psi_i_0,0.03
Wap,0.03
nO,0.02
TWC,0.02
nBM,0.02
nAT,0.02
MWC09,0.02
MPC02,0.02
X0v,0.02
MSD,0.02
MPC03,0.02
GMTIV,0.02
RCI,0.02
GNar,0.02
X5,0.02
SPI,0.02
MWC06,0.02
X5sol,0.02
DBI,0.02
GD,0.02
MW,0.02
ZM1Kup,0.02
X2sol,0.02
S2K,0.02
Xu,0.02
CENT,0.02
Psi_e_0,0.02
nAB,0.02
Psi_i_s,0.02
X4sol,0.01
Psi_e_1,0.01
MPC07,0.01
RFD,0.01
piPC03,0.01
piPC01,0.01
VAR,0.01
HNar,0.01
MDDD,0.01
Sp,0.01
nBT,0.01
nR05,0.01
CSI,0.01
X4,0.01
X2,0.01
piID,0.01
piPC02,0.01
LOC,0.01
X3,0.01
MWC03,0.01
Xt,0.01
X0,0.01
SRW10,0.01
SRW06,0.01
nR06,0.01
BID,0.01
MPC09,0.01
Psi_i_1d,0.01
SMTIV,0.01
MWC10,0.01
ZM2,0.01
X1,0.01
NNRS,0.01
SRW08,0.01
TPC,0.01
MPC05,0.01
SRW04,0.01
MPC04,0.01
GMTI,0.01
TRS,0.01
X1sol,0.01
SMTI,0.01
nBnz,0.0
SRW05,0.0
CID,0.0
D/Dtr10,0.0
nCIR,0.0
SNar,0.0
MWC04,0.0
Qindex,0.0
MPC06,0.0
Pol,0.0
BAC,0.0
LPRS,0.0
nBO,0.0
ON0,0.0
MWC01,0.0
nR10,0.0
SRW02,0.0
X0sol,0.0
Rbrid,0.0
nSK,0.0
S1K,0.0
MWC02,0.0
Psi_i_t,0.0
Ram,0.0
Rperim,0.0
MCD,0.0
nCIC,0.0
RBN,0.0
MPC01,0.0
NRS,0.0
Psi_i_0d,0.0
Psi_e_0d,0.0
ZM1,0.0
