principal_component,variance_captured
PC_1,60.294
PC_2,11.009
PC_3,7.86
PC_4,5.636
PC_5,3.71
PC_6,2.876
PC_7,1.71
PC_8,1.462
PC_9,1.204
PC_10,0.779
PC_11,0.532
PC_12,0.49
PC_13,0.433
PC_14,0.313
PC_15,0.241
PC_16,0.199
PC_17,0.178
PC_18,0.141
PC_19,0.112
PC_20,0.098
PC_21,0.087
PC_22,0.077
PC_23,0.071
PC_24,0.065
PC_25,0.049
PC_26,0.046
PC_27,0.038
PC_28,0.027
PC_29,0.026
PC_30,0.025
PC_31,0.02
PC_32,0.018
PC_33,0.017
PC_34,0.016
PC_35,0.013
PC_36,0.012
PC_37,0.011
PC_38,0.009
PC_39,0.008
PC_40,0.008
PC_41,0.007
PC_42,0.007
PC_43,0.006
PC_44,0.006
PC_45,0.005
PC_46,0.004
PC_47,0.004
PC_48,0.004
PC_49,0.003
PC_50,0.003
PC_51,0.002
PC_52,0.002
PC_53,0.002
PC_54,0.002
PC_55,0.002
PC_56,0.002
PC_57,0.002
PC_58,0.001
PC_59,0.001
PC_60,0.001
PC_61,0.001
PC_62,0.001
PC_63,0.001
PC_64,0.001
PC_65,0.001
PC_66,0.001
PC_67,0.001
PC_68,0.001
PC_69,0.001
PC_70,0.001
PC_71,0.001
PC_72,0.0
PC_73,0.0
PC_74,0.0
PC_75,0.0
PC_76,0.0
PC_77,0.0
PC_78,0.0
PC_79,0.0
PC_80,0.0
PC_81,0.0
PC_82,0.0
PC_83,0.0
PC_84,0.0
PC_85,0.0
PC_86,0.0
PC_87,0.0
PC_88,0.0
PC_89,0.0
PC_90,0.0
PC_91,0.0
PC_92,0.0
PC_93,0.0
PC_94,0.0
PC_95,0.0
PC_96,0.0
PC_97,0.0
PC_98,0.0
PC_99,0.0
PC_100,0.0
PC_101,0.0
PC_102,0.0
PC_103,0.0
PC_104,0.0
PC_105,0.0
PC_106,0.0
PC_107,0.0
PC_108,0.0
PC_109,0.0
PC_110,0.0
PC_111,0.0
PC_112,0.0
PC_113,0.0
PC_114,0.0
PC_115,0.0
PC_116,0.0
PC_117,0.0
PC_118,0.0
PC_119,0.0
PC_120,0.0
PC_121,0.0
PC_122,0.0
PC_123,0.0
PC_124,0.0
PC_125,0.0
PC_126,0.0
PC_127,0.0
PC_128,0.0
PC_129,0.0
PC_130,0.0
PC_131,0.0
PC_132,0.0
PC_133,0.0
PC_134,0.0
PC_135,0.0
PC_136,0.0
PC_137,0.0
PC_138,0.0
PC_139,0.0
PC_140,0.0
PC_141,0.0
PC_142,0.0
PC_143,0.0
PC_144,0.0
PC_145,0.0
PC_146,0.0
PC_147,0.0
PC_148,0.0
PC_149,0.0
PC_150,0.0
PC_151,0.0
PC_152,0.0
PC_153,0.0
PC_154,0.0
PC_155,0.0
PC_156,0.0
PC_157,0.0
PC_158,0.0
PC_159,0.0
PC_160,0.0
PC_161,0.0
PC_162,0.0
PC_163,0.0
PC_164,0.0
PC_165,0.0
PC_166,0.0
PC_167,0.0
PC_168,0.0
PC_169,0.0
PC_170,0.0
PC_171,0.0
PC_172,0.0
PC_173,0.0
PC_174,0.0
PC_175,0.0
PC_176,0.0
PC_177,0.0
PC_178,0.0
PC_179,0.0
PC_180,0.0
PC_181,0.0
PC_182,0.0
PC_183,0.0
PC_184,0.0
PC_185,0.0
PC_186,0.0
PC_187,0.0
PC_188,0.0
PC_189,0.0
PC_190,0.0
PC_191,0.0
PC_192,0.0
PC_193,0.0
PC_194,0.0
PC_195,0.0
PC_196,0.0
PC_197,0.0
PC_198,0.0
PC_199,0.0
PC_200,0.0
