density_Kg/m3,predicted_density
1232.82,1212.4899972134972
1215.48,1201.1416197296705
1276.64,1263.3942183083343
1243.85,1282.5446577074629
1224.83,1217.3723831338523
1366.68,1329.297140966633
1394.18,1411.2894885219746
1384.33,1343.145847451277
1218.16,1223.570544682911
1214.84,1234.0082009706111
1249.66,1248.8508828100328
1322.57,1311.0986322835734
1189.65,1183.8620969114015
1236.8,1211.2463277094591
1288.26,1286.2006257856597
1258.71,1247.81113965959
1152.62,1160.1569983038746
1358.93,1362.21512814038
1308.41,1319.771455919595
1264.16,1280.1738148360623
1275.38,1268.9162184171287
1296.58,1277.615151170288
1301.71,1321.7371913702493
1282.84,1272.5531967334684
1278.67,1269.2776482271115
1136.96,1149.2726354978308
1435.68,1430.1430968822565
1238.09,1218.6672245993018
1422.29,1450.342614793388
1342.69,1336.3324988832296
1186.29,1183.1525586186258
1458.21,1462.2810296901441
1312.06,1287.0884347567753
1366.41,1345.4464526295415
1335.61,1367.6784928055354
1357.3,1345.4890437168747
1105.05,1090.2178966451352
1140.69,1165.1855475082102
1360.41,1356.595692314913
1226.36,1212.1777797646669
1304.04,1304.006013945328
1502.47,1535.6630156271385
1189.57,1207.8524168774986
1203.3,1207.1866137480179
1088.77,1140.2606748749095
1313.92,1304.5098279919646
1402.66,1415.2594927994094
1180.54,1162.4484267672071
1424.67,1428.2407844435713
1285.66,1268.9282737321917
1228.03,1205.5901023151516
1192.81,1206.8811931189819
1233.05,1201.895110175261
1267.09,1257.5093368575579
1317.6,1314.3157732231991
1165.8,1196.438827200657
1227.91,1202.5473428785717
1224.63,1181.8636138521222
1221.2,1242.4012051684335
1361.73,1377.8602382625597
1244.76,1239.5516346350478
1164.27,1190.149616366815
1354.41,1351.7732820846759
1294.68,1236.7511401731153
1298.53,1281.0871706383718
1261.16,1281.3687368428941
1366.07,1341.9253052653712
1291.45,1314.426452661328
1359.74,1350.8917732265077
1344.61,1330.1979797905776
1339.59,1330.7688830216778
1233.7,1211.054783950289
1136.61,1153.0730997011947
1203.16,1212.5398762016894
1357.48,1360.8963979359594
1245.29,1229.9705268276132
1015.3,1025.1848606051663
1316.23,1290.4260467704348
1270.09,1294.6951286267185
1185.61,1205.4488572207554
1321.35,1353.5890759900626
1452.92,1442.3744173575474
1240.54,1254.6197937877755
1227.27,1244.949976782925
1195.32,1197.5597685888608
1360.49,1350.9397389924304
1278.21,1259.9575632196927
1213.41,1231.7046595158854
1216.33,1213.3400348732735
1310.46,1316.5857391144532
1288.9,1295.2836974084987
1403.9,1373.8770877184916
1311.3,1318.3348301361398
1322.71,1324.7729135688974
1377.85,1377.27250369007
1224.18,1279.9429601070126
1193.12,1193.0088600358006
1211.33,1230.177347408506
1268.1,1287.455668882612
1454.69,1474.5065074791585
1242.9,1246.856997655795
1304.41,1253.3235692936905
1351.83,1339.0173230946216
1265.93,1275.037577507821
1486.38,1475.6597800863892
1206.6,1212.2456756604881
1295.95,1282.992251489026
1087.93,1079.4354241313092
1282.11,1250.547131749551
1266.23,1265.3745154966798
1265.36,1258.3558244467097
1321.19,1325.4837089395644
1317.12,1351.618099056811
1210.22,1203.6597212456709
1322.28,1304.5611393715346
1199.64,1235.3384945513649
1256.16,1223.951814470581
1238.45,1251.6793448123535
1201.17,1187.3571021330895
1196.28,1206.2749556236652
1297.69,1270.9168524808977
1237.32,1245.6452494550065
1387.8,1385.3520236079303
1229.93,1246.6662707371775
1261.61,1263.4292958048336
1290.56,1268.2853838566666
1341.26,1327.7285627027595
1208.49,1184.6667728787304
1266.04,1256.8460078796293
1364.13,1373.51108072404
1243.62,1254.3009182727517
1303.59,1287.0508623629414
1162.31,1154.0541096349918
1203.95,1200.3215643292087
1469.03,1471.863600261119
1189.45,1176.2125425219097
1314.25,1337.080893903537
1270.4,1238.4850698054017
1199.08,1196.6445574840402
1363.99,1378.4242659721567
1370.11,1340.6176796879604
1288.37,1293.112698171763
1313.61,1305.2185388766156
1166.87,1154.6647290320034
1225.58,1220.2453325787092
1328.8,1351.40230136933
1392.5,1364.4323113074538
1322.28,1311.4241665395843
1165.73,1162.7658530224735
1330.04,1312.131853932695
1279.87,1299.9161201215115
1072.32,1116.9415527462706
1133.65,1160.243895098872
1198.04,1221.3619252400586
1153.06,1167.0094515852581
1184.64,1225.0080440231459
1313.76,1306.5100269962104
1218.32,1223.9995873394087
1210.13,1214.8925108085725
1328.35,1335.098059309217
1273.26,1269.593268320855
1214.8,1224.8412581019156
1358.81,1353.9504635667047
1156.24,1199.1084604805887
1359.36,1391.4459330662191
1295.67,1292.7392830426475
1369.6,1364.689227213668
1207.67,1209.39437868803
1113.51,1121.924245204477
1183.82,1175.9866211794974
1309.83,1302.1435870751702
1233.47,1264.5237186401857
1353.09,1353.699850918137
1417.21,1400.594364306031
1211.16,1217.334155454794
1275.77,1267.2020871679208
1061.67,1061.4709825246473
1194.8,1207.6120906497435
1199.41,1187.9133997557763
1183.37,1179.437897889191
1115.91,1121.785396198846
1195.44,1207.8201455682517
1049.98,1128.3653958268824
1467.0,1432.4771827609322
1307.73,1301.5157967030107
1176.47,1202.40814283003
1291.5,1303.4791554830715
1125.5,1176.9655049821897
1228.17,1247.0873580888217
1321.4,1319.6538864283955
1353.17,1369.0435872124215
1086.11,1100.9424197932553
1175.98,1155.0123645902347
1161.47,1142.2282104199462
1333.85,1344.4826627317377
1250.21,1280.0685477457228
1408.98,1309.9289644226874
1269.26,1280.307525113077
1614.83,1635.7582499917871
1205.78,1201.0276991303642
1320.61,1329.6221806361953
1146.34,1154.9551203593012
1172.33,1184.667855406361
1411.78,1400.7156533244245
1256.02,1251.7154894447206
1271.31,1275.1673903020308
1258.63,1277.9148184749204
1268.33,1284.361903586779
1329.36,1277.4137909672127
1322.37,1312.523326709587
1250.48,1241.3733698396518
1389.91,1355.413497224283
1180.38,1173.1640257532795
1217.04,1225.1614453498337
1160.43,1188.818194485791
1258.42,1262.8363909371353
1164.49,1169.2023458838758
1346.76,1355.0984298107835
1330.49,1310.099731203097
1439.52,1440.2593105225344
1301.94,1280.4977328977866
1195.78,1230.6592614696992
1324.64,1325.0162958618785
1120.2,1131.870938375964
1319.36,1291.707503639277
1252.31,1232.8342738326476
1457.52,1456.344297439651
1272.65,1288.6112263094815
1210.88,1198.1486708350624
1268.79,1264.8447083092944
1151.82,1165.4922214583971
1476.99,1453.883540123188
1350.56,1316.893475837794
1005.6,1048.0618836169854
1306.45,1309.082140802006
1292.75,1289.0065495491767
1374.07,1384.4256857205075
1351.31,1379.1442120510437
1136.54,1135.900620329122
1238.57,1240.8832910476642
1183.87,1159.9352390380782
1445.47,1426.1734238838771
1325.91,1291.6381493801016
1264.12,1250.3988884016546
1237.59,1252.9748733156482
1061.13,1088.0790792784364
1193.95,1189.1411251781647
