density_Kg/m3,predicted_density
1232.82,1241.4329127635367
1215.48,1229.2024875858517
1276.64,1276.9382520552447
1243.85,1254.8029207182824
1224.83,1226.06705410317
1366.68,1346.68187515938
1394.18,1379.7084145199572
1384.33,1378.674076017803
1218.16,1228.0372397896156
1214.84,1229.457527550602
1249.66,1255.471474272423
1322.57,1322.191705704258
1189.65,1210.4482628221192
1236.8,1252.6644460469502
1288.26,1292.4312524567438
1258.71,1254.7855216211206
1152.62,1175.2752260232812
1358.93,1350.1464730834791
1308.41,1317.3535841453804
1264.16,1274.736052515126
1275.38,1287.3568733125367
1296.58,1292.1556847994102
1301.71,1296.6038288302218
1282.84,1288.7572453212358
1278.67,1284.1927745471085
1136.96,1164.3546880930219
1435.68,1420.2825363363427
1238.09,1233.7746704287442
1422.29,1414.1394987006568
1342.69,1332.203745993793
1186.29,1209.489821127026
1458.21,1434.9638512940357
1312.06,1304.8578119290828
1366.41,1359.7361205704526
1335.61,1344.5472544961383
1357.3,1350.4559554716627
1105.05,1129.1448808419518
1140.69,1160.844468871613
1360.41,1357.4084077528373
1226.36,1239.2249592285143
1304.04,1318.6211732149852
1502.47,1471.0961565152547
1189.57,1214.097674820824
1203.3,1219.3648084040094
1088.77,1127.7761554675083
1313.92,1317.581960804247
1402.66,1377.6641178654604
1180.54,1192.9500394373508
1424.67,1401.6250629807573
1285.66,1287.3193706933278
1228.03,1243.1332584457516
1192.81,1216.2289129266674
1233.05,1243.8021483644259
1267.09,1268.8853677201153
1317.6,1330.2316934166427
1165.8,1200.2528079505764
1227.91,1231.188364880421
1224.63,1225.203629309954
1221.2,1232.1008691765942
1361.73,1352.26341367035
1244.76,1252.5952967934857
1164.27,1183.9350862910155
1354.41,1337.9768204665954
1294.68,1291.7579668344856
1298.53,1284.5664147552152
1261.16,1273.3581193304317
1366.07,1354.1146181704732
1291.45,1293.4775001545954
1359.74,1349.3936865554617
1344.61,1338.5930132749986
1339.59,1344.7894963982712
1233.7,1239.4377334361216
1136.61,1158.0353900382604
1203.16,1220.036559447512
1357.48,1350.8206880985051
1245.29,1251.4611161118871
1015.3,1055.2928783592474
1316.23,1308.2805142321117
1270.09,1280.123681600466
1185.61,1201.2468691638346
1321.35,1328.6639320968698
1452.92,1435.2024890974708
1240.54,1239.4151092063646
1227.27,1259.1091067581422
1195.32,1219.2631965958944
1360.49,1346.2658584234805
1278.21,1279.2917751096554
1213.41,1227.5540366021285
1216.33,1224.2251057065992
1310.46,1321.8140588407023
1288.9,1294.7495551725867
1403.9,1380.51372254624
1311.3,1314.654946351436
1322.71,1325.9222828701895
1377.85,1352.4960644552586
1224.18,1248.1576057295872
1193.12,1209.32968459178
1211.33,1226.1077042298625
1268.1,1285.0696282553001
1454.69,1442.997403501849
1242.9,1251.3539265963045
1304.41,1290.3119735284763
1351.83,1342.7517054931482
1265.93,1276.6828095337432
1486.38,1451.7773229434472
1206.6,1223.258666910947
1295.95,1298.91994855375
1087.93,1127.0897232603445
1282.11,1282.9751484439348
1266.23,1277.457235513425
1265.36,1264.8650908056538
1321.19,1332.2068529754292
1317.12,1322.8190079983028
1210.22,1219.8052487172918
1322.28,1324.777903183655
1199.64,1220.9863394181484
1256.16,1255.1896264595996
1238.45,1258.049736115463
1201.17,1219.0152486544437
1196.28,1215.5627814673412
1297.69,1298.9611309199051
1237.32,1252.9875289095305
1387.8,1379.083592407775
1229.93,1249.1192732821355
1261.61,1282.941197239822
1290.56,1285.759721297348
1341.26,1336.6401375288508
1208.49,1212.0356170382615
1266.04,1271.546334828674
1364.13,1359.644769906906
1243.62,1268.4644083822097
1303.59,1297.6232078912292
1162.31,1185.8062132977338
1203.95,1214.4113989143716
